PreCondName,TrgCol,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,ratingName_EN,ratingName_CN,InstrBkg.started,TagFig.started,InstrKeyResp.started,InstrKeyResp.keys,InstrKeyResp.rt,precondBkg.started,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,11.497385415997996,11.497385415997996,11.497385415997996,space,2.2896231670019915,,,,,,kjkjhk,001,2022-12-16_05h29.50.237,FigureTest,2022.2.4,60.542368564446484,
Stimuli/CS+3.BMP,-0.1,0,0,0,3,,,,,,,,,,,,13.860909707997052,13.860909707997052,19.81806666599732,19.835699750001368,24.094503749998694,kjkjhk,001,2022-12-16_05h29.50.237,FigureTest,2022.2.4,60.542368564446484,
Stimuli/CS+1.BMP,0.4,0,1,1,7,,,,,,,,,,,,24.094503749998694,24.094503749998694,30.06882187500014,30.085463625000557,34.22053287499875,kjkjhk,001,2022-12-16_05h29.50.237,FigureTest,2022.2.4,60.542368564446484,
Stimuli/CS+4.BMP,0.4,0,2,2,11,,,,,,,,,,,,34.22053287499875,34.22053287499875,40.20294974999706,40.22006274999876,44.60720666599809,kjkjhk,001,2022-12-16_05h29.50.237,FigureTest,2022.2.4,60.542368564446484,
Stimuli/CS+3.BMP,-0.1,0,3,3,4,,,,,,,,,,,,44.60720666599809,44.60720666599809,50.58707845799654,50.60271454099711,54.89471908300038,kjkjhk,001,2022-12-16_05h29.50.237,FigureTest,2022.2.4,60.542368564446484,
Stimuli/CS+4.BMP,0.4,0,4,4,12,,,,,,,,,,,,54.89471908300038,54.89471908300038,60.87020595800277,60.887121332998504,65.14335374999791,kjkjhk,001,2022-12-16_05h29.50.237,FigureTest,2022.2.4,60.542368564446484,
Stimuli/CS+4.BMP,0.4,0,5,5,13,,,,,,,,,,,,65.14335374999791,65.14335374999791,71.12292833300307,71.21081595800206,75.47107779100043,kjkjhk,001,2022-12-16_05h29.50.237,FigureTest,2022.2.4,60.542368564446484,
Stimuli/CS+3.BMP,-0.1,0,6,6,0,,,,,,,,,,,,75.47107779100043,75.47107779100043,81.4199552909995,81.4540295830011,85.70064383299905,kjkjhk,001,2022-12-16_05h29.50.237,FigureTest,2022.2.4,60.542368564446484,
Stimuli/CS+1.BMP,0.4,0,7,7,9,,,,,,,,,,,,85.70064383299905,85.70064383299905,91.67141270799766,91.68841116599651,96.20920191599726,kjkjhk,001,2022-12-16_05h29.50.237,FigureTest,2022.2.4,60.542368564446484,
Stimuli/CS+3.BMP,-0.1,0,8,8,1,,,,,,,,,,,,96.20920191599726,96.20920191599726,102.18641741600004,102.22059925000212,106.67675116600003,kjkjhk,001,2022-12-16_05h29.50.237,FigureTest,2022.2.4,60.542368564446484,
Stimuli/CS+1.BMP,0.4,0,9,9,6,,,,,,,,,,,,106.67675116600003,106.67675116600003,112.65355187500245,112.68908716599981,116.84693512500235,kjkjhk,001,2022-12-16_05h29.50.237,FigureTest,2022.2.4,60.542368564446484,
Stimuli/CS+3.BMP,-0.1,0,10,10,2,,,,,,,,,,,,116.84693512500235,116.84693512500235,122.82059462500183,122.85565262499586,127.08367970799736,kjkjhk,001,2022-12-16_05h29.50.237,FigureTest,2022.2.4,60.542368564446484,
Stimuli/CS+4.BMP,0.4,0,11,11,10,,,,,,,,,,,,127.08367970799736,127.08367970799736,133.0745790410001,133.08798487499735,137.5054172079981,kjkjhk,001,2022-12-16_05h29.50.237,FigureTest,2022.2.4,60.542368564446484,
Stimuli/CS+1.BMP,0.4,0,12,12,8,,,,,,,,,,,,137.5054172079981,137.5054172079981,143.47161787500227,143.50634458300192,148.09290987499844,kjkjhk,001,2022-12-16_05h29.50.237,FigureTest,2022.2.4,60.542368564446484,
Stimuli/CS+4.BMP,0.4,0,13,13,14,,,,,,,,,,,,148.09290987499844,148.09290987499844,154.0718953329997,154.10631616599858,158.37286312499782,kjkjhk,001,2022-12-16_05h29.50.237,FigureTest,2022.2.4,60.542368564446484,
Stimuli/CS+1.BMP,0.4,0,14,14,5,,,,,,,,,,,,158.37286312499782,158.37286312499782,164.340456291,164.35613233299955,,kjkjhk,001,2022-12-16_05h29.50.237,FigureTest,2022.2.4,60.542368564446484,
