PreCondName,TrgCol,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,40.86841269999786,None,40.86841269999786,None,space,1.7099105000015697,40.86841269999786,None,,,,,,,,,,,,,kkkkk,001,2021_Aug_05_1510,FigureTest,2021.2.1,60.016300427299555,
PreCondition\CS+.PNG,-0.1,0,0,0,0,,,,,,,,,42.60343439999997,None,42.60343439999997,None,43.600195600000006,None,,,,,,,kkkkk,001,2021_Aug_05_1510,FigureTest,2021.2.1,60.016300427299555,
PreCondition\CS+.PNG,-0.1,0,1,1,2,,,,,,,,,45.8826287999982,None,45.8826287999982,None,46.94974369999909,None,,,,,,,kkkkk,001,2021_Aug_05_1510,FigureTest,2021.2.1,60.016300427299555,
PreCondition\CS+.PNG,-0.1,0,2,2,4,,,,,,,,,49.282815099999425,None,49.282815099999425,50.266731899999286,50.28245769999921,None,,,,,,,kkkkk,001,2021_Aug_05_1510,FigureTest,2021.2.1,60.016300427299555,
PreCondition\CS-.PNG,0.4,0,3,3,5,,,,,,,,,52.48270639999828,None,52.48270639999828,53.46652979999999,53.482401299999765,None,,,,,,,kkkkk,001,2021_Aug_05_1510,FigureTest,2021.2.1,60.016300427299555,
PreCondition\CS-.PNG,0.4,0,4,4,6,,,,,,,,,55.69802820000041,None,55.69802820000041,56.68373529999735,56.6993509999993,None,,,,,,,kkkkk,001,2021_Aug_05_1510,FigureTest,2021.2.1,60.016300427299555,
PreCondition\CS-.PNG,0.4,0,5,5,9,,,,,,,,,58.94899029999942,None,58.94899029999942,59.93206549999741,59.94832799999858,None,,,,,,,kkkkk,001,2021_Aug_05_1510,FigureTest,2021.2.1,60.016300427299555,
PreCondition\CS-.PNG,0.4,0,6,6,7,,,,,,,,,62.31406729999799,None,62.31406729999799,63.30075450000004,63.31400550000035,None,,,,,,,kkkkk,001,2021_Aug_05_1510,FigureTest,2021.2.1,60.016300427299555,
PreCondition\CS+.PNG,-0.1,0,7,7,3,,,,,,,,,65.73148769999898,None,65.73148769999898,66.71450360000017,66.73024749999968,None,,,,,,,kkkkk,001,2021_Aug_05_1510,FigureTest,2021.2.1,60.016300427299555,
PreCondition\CS+.PNG,-0.1,0,8,8,1,,,,,,,,,68.91408299999966,None,68.91408299999966,69.89895009999964,69.91401720000067,None,,,,,,,kkkkk,001,2021_Aug_05_1510,FigureTest,2021.2.1,60.016300427299555,
PreCondition\CS-.PNG,0.4,0,9,9,8,,,,,,,,,72.11680709999928,None,72.11680709999928,None,73.11425450000024,None,,,,,,,kkkkk,001,2021_Aug_05_1510,FigureTest,2021.2.1,60.016300427299555,
,,,,,,,,,,,,,,,,,,,,75.52620839999872,None,5.5859375,10.682835999999952,75.52620839999872,None,,,,,,,
