PreCondName,TrgCol,Session_Condition.thisRepN,Session_Condition.thisTrialN,Session_Condition.thisN,Session_Condition.thisIndex,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,ratingName,InstrBkg.started,TagFig.started,InstrKeyResp.started,InstrKeyResp.keys,InstrKeyResp.rt,precondBkg.started,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,precondBkg.stopped,Bkg.started,image.started,Scale.started,participant,session,date,expName,psychopyVersion,frameRate,
PreCondition/CS+1.BMP,-0.1,0,0,0,0,0,0,0,2,,,,,,13.177759665995836,13.177759665995836,13.177759665995836,space,4.166332042077556,17.48615658300696,17.48615658300696,23.398708332970273,23.413550707977265,31.636165875010192,,,,,sdds,001,2022-12-01_05h30.46.353,FigureTest,2022.2.4,59.63875327494536,
PreCondition/CS-1.BMP,0.4,0,0,0,0,0,1,1,7,,,,,,,,,,,31.636165875010192,31.636165875010192,37.61558570800116,37.63227554096375,45.71604224998737,,,,,sdds,001,2022-12-01_05h30.46.353,FigureTest,2022.2.4,59.63875327494536,
PreCondition/CS+1.BMP,-0.1,0,0,0,0,0,2,2,1,,,,,,,,,,,45.71604224998737,45.71604224998737,51.69970224995632,51.71680720796576,59.95929133298341,,,,,sdds,001,2022-12-01_05h30.46.353,FigureTest,2022.2.4,59.63875327494536,
PreCondition/CS-1.BMP,0.4,0,0,0,0,0,3,3,8,,,,,,,,,,,59.95929133298341,59.95929133298341,65.94959429098526,65.96661387500353,74.10508812498301,,,,,sdds,001,2022-12-01_05h30.46.353,FigureTest,2022.2.4,59.63875327494536,
PreCondition/CS+1.BMP,-0.1,0,0,0,0,0,4,4,3,,,,,,,,,,,74.10508812498301,74.10508812498301,80.08309920795728,80.11620895797387,88.31618600001093,,,,,sdds,001,2022-12-01_05h30.46.353,FigureTest,2022.2.4,59.63875327494536,
PreCondition/CS+1.BMP,-0.1,0,0,0,0,0,5,5,4,,,,,,,,,,,88.31618600001093,88.31618600001093,94.30041329097003,94.31695070798742,102.65048054099316,,,,,sdds,001,2022-12-01_05h30.46.353,FigureTest,2022.2.4,59.63875327494536,
PreCondition/CS+1.BMP,-0.1,0,0,0,0,0,6,6,0,,,,,,,,,,,102.65048054099316,102.65048054099316,108.63418112497311,108.65058625000529,116.83875570795499,108.65058625000529,,,,sdds,001,2022-12-01_05h30.46.353,FigureTest,2022.2.4,59.63875327494536,
PreCondition/CS-1.BMP,0.4,0,0,0,0,0,7,7,9,,,,,,,,,,,116.83875570795499,116.83875570795499,122.81733649998205,122.85103195800912,131.00488337496063,,,,,sdds,001,2022-12-01_05h30.46.353,FigureTest,2022.2.4,59.63875327494536,
PreCondition/CS-1.BMP,0.4,0,0,0,0,0,8,8,5,,,,,,,,,,,131.00488337496063,131.00488337496063,136.98454537498765,137.0179351249826,145.21788937499514,,,,,sdds,001,2022-12-01_05h30.46.353,FigureTest,2022.2.4,59.63875327494536,
PreCondition/CS-1.BMP,0.4,0,0,0,0,0,9,9,6,,,,,,,,,,,145.21788937499514,145.21788937499514,151.20171912497608,151.2183989160112,160.08222008298617,,,,,sdds,001,2022-12-01_05h30.46.353,FigureTest,2022.2.4,59.63875327494536,
,,,,,,,,,,,,,,,,,,,,,,,,,,160.08222008298617,160.08222008298617,160.08222008298617,,,,,,,
